Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Bahrain,BHR,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Bahrain,BHR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Bahrain,BHR,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Benin,BEN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5
Benin,BEN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Benin,BEN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Benin,BEN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Benin,BEN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Benin,BEN,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Benin,BEN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Benin,BEN,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,837.341956405278
Botswana,BWA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Botswana,BWA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Botswana,BWA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,5
Botswana,BWA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Botswana,BWA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Botswana,BWA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Botswana,BWA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Botswana,BWA,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7483.17315222592
Burkina Faso,BFA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5
Burkina Faso,BFA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Burkina Faso,BFA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Burkina Faso,BFA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Burkina Faso,BFA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Burkina Faso,BFA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Burkina Faso,BFA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Burkina Faso,BFA,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,663.906712033544
Burundi,BDI,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2
Burundi,BDI,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2
Burundi,BDI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Burundi,BDI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Burundi,BDI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Burundi,BDI,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Burundi,BDI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Burundi,BDI,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,218.28352838019
Cabo Verde,CPV,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,4
Cabo Verde,CPV,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,4
Cabo Verde,CPV,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
Cabo Verde,CPV,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Cabo Verde,CPV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Cabo Verde,CPV,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Cabo Verde,CPV,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Cabo Verde,CPV,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cabo Verde,CPV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3452.9462124976
Cameroon,CMR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Cameroon,CMR,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Cameroon,CMR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Cameroon,CMR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Cameroon,CMR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Cameroon,CMR,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Cameroon,CMR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Cameroon,CMR,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cameroon,CMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1495.44336202907
Central African Republic,CAF,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Central African Republic,CAF,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,1.5
Central African Republic,CAF,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Central African Republic,CAF,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Central African Republic,CAF,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Central African Republic,CAF,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Central African Republic,CAF,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Central African Republic,CAF,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,325.720291783207
Chad,TCD,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Chad,TCD,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Chad,TCD,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Chad,TCD,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Chad,TCD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Chad,TCD,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Chad,TCD,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Chad,TCD,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Chad,TCD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,859.648571526289
Comoros,COM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Comoros,COM,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Comoros,COM,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Comoros,COM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Comoros,COM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Comoros,COM,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Comoros,COM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Comoros,COM,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Comoros,COM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,768.438960248232
"Congo, Dem. Rep.",COD,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2
"Congo, Dem. Rep.",COD,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2
"Congo, Dem. Rep.",COD,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
"Congo, Dem. Rep.",COD,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
"Congo, Dem. Rep.",COD,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
"Congo, Dem. Rep.",COD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,388.272140742046
"Congo, Rep.",COG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2
"Congo, Rep.",COG,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
"Congo, Rep.",COG,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
"Congo, Rep.",COG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
"Congo, Rep.",COG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
"Congo, Rep.",COG,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
"Congo, Rep.",COG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
"Congo, Rep.",COG,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
"Congo, Rep.",COG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2798.06609680831
Cote d'Ivoire,CIV,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Cote d'Ivoire,CIV,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Cote d'Ivoire,CIV,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Cote d'Ivoire,CIV,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Cote d'Ivoire,CIV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Cote d'Ivoire,CIV,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Cote d'Ivoire,CIV,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Cote d'Ivoire,CIV,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1552.77041979628
Djibouti,DJI,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Djibouti,DJI,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Djibouti,DJI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,1
Djibouti,DJI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Djibouti,DJI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Djibouti,DJI,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Djibouti,DJI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Djibouti,DJI,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Djibouti,DJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
"Egypt, Arab Rep.",EGY,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
"Egypt, Arab Rep.",EGY,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
"Egypt, Arab Rep.",EGY,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
"Egypt, Arab Rep.",EGY,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2724.39680691031
Equatorial Guinea,GNQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Equatorial Guinea,GNQ,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Equatorial Guinea,GNQ,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Equatorial Guinea,GNQ,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Equatorial Guinea,GNQ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Equatorial Guinea,GNQ,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Equatorial Guinea,GNQ,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Equatorial Guinea,GNQ,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Equatorial Guinea,GNQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,12278.1291416571
Eritrea,ERI,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2
Eritrea,ERI,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Eritrea,ERI,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,0
Eritrea,ERI,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Eritrea,ERI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Eritrea,ERI,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Eritrea,ERI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Eritrea,ERI,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Eritrea,ERI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Ethiopia,ETH,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Ethiopia,ETH,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
Ethiopia,ETH,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,3
Ethiopia,ETH,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Ethiopia,ETH,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Ethiopia,ETH,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Ethiopia,ETH,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Ethiopia,ETH,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Ethiopia,ETH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,511.187426515801
Gabon,GAB,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Gabon,GAB,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Gabon,GAB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Gabon,GAB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Gabon,GAB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Gabon,GAB,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Gabon,GAB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Gabon,GAB,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Gabon,GAB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9569.45438837312
"Gambia, The",GMB,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2
"Gambia, The",GMB,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3
"Gambia, The",GMB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,8
"Gambia, The",GMB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
"Gambia, The",GMB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
"Gambia, The",GMB,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
"Gambia, The",GMB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
"Gambia, The",GMB,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
"Gambia, The",GMB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,531.918208458419
Ghana,GHA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3
Ghana,GHA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,4
Ghana,GHA,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,7
Ghana,GHA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Ghana,GHA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Ghana,GHA,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Ghana,GHA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Ghana,GHA,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Ghana,GHA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1707.66162367907
Guinea,GIN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5
Guinea,GIN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5
Guinea,GIN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Guinea,GIN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Guinea,GIN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Guinea,GIN,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Guinea,GIN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Guinea,GIN,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Guinea,GIN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,735.722667421314
Guinea-Bissau,GNB,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2
Guinea-Bissau,GNB,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2
Guinea-Bissau,GNB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Guinea-Bissau,GNB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Guinea-Bissau,GNB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
Guinea-Bissau,GNB,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
Guinea-Bissau,GNB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Guinea-Bissau,GNB,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Guinea-Bissau,GNB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,582.374005838895
"Iran, Islamic Rep.",IRN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
"Iran, Islamic Rep.",IRN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
"Iran, Islamic Rep.",IRN,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,2
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,..
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
"Iran, Islamic Rep.",IRN,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
"Iran, Islamic Rep.",IRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6733.9134736377
Iraq,IRQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..
Iraq,IRQ,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..
Iraq,IRQ,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,0
Iraq,IRQ,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..
Iraq,IRQ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,..
