project_id;donor;title;year;year_uncertain;description;crs_sector_code;crs_sector_name;sector_comment;status;status_code;flow;all_recipients;sources;sources_count;funding_agency;implementing_agency;donor_agency;donor_agency_count;recipient_agencies;recipient_agencies_count;verified;verified_code;flow_class;flow_class_code;intent;intent_code;active;active_code;factiva_sources;amount;currency;deflators_used;exchange_rates_used;usd_defl;usd_current;start_actual;start_planned;end_actual;end_planned;recipient_count;recipient_condensed;recipient_cow_code;recipient_oecd_code;recipient_oecd_name;recipient_iso3;recipient_iso2;recipient_un_code;recipient_imf_code;debt_uncertian;line_of_credit;is_cofinanced;is_ground_truthing;loan_type;interest_rate;maturity;grace_period;grant_element;updated_at;location_details;contacts;is_official_finance
1703;China;$2.25m Grant;2004;FALSE;On November 8, 2004, China and Nigeria signed a cooperation accords, including a grant of $2.25 to Nigeria. The signing ceremony took place during Wu Bangguo's visit and was attended by President Olusegun Abasanj, Senate speaker Adolphus Wabara, and some National Assembly officers. The status of the grant is uncertain.;998;Unallocated / Unspecified;;Pipeline: Commitment;11;Monetary Grant (excluding debt forgiveness);Nigeria;http://global.factiva.com/aa/?ref=AFPR000020041108e0b80093w&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;1;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=AFPR000020041108e0b80093w&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;2250000;USD;0,663629447;1;3390446,296;2250000;;;;;1;Nigeria;475;261;Nigeria;NGA;NG;566;694;FALSE;FALSE;FALSE;FALSE;;;;;;05.04.13 17:05;;;1
497;China;$2.4m Grant;2002;FALSE;On January 9, 2002, Eritrean Foreign Affairs Minister Ali Sayyid Abdallah and Chinese Foreign Minister Tang Jiaxuan signed a $2.4 million grant for economic and technical projects.;998;Unallocated / Unspecified;Economic and technical projects;Pipeline: Commitment;11;Monetary Grant (excluding debt forgiveness);Eritrea;http://global.factiva.com/aa/?ref=bbcap00020020110dy1a001e1&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;1;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=bbcap00020020110dy1a001e1&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;2400000;USD;0,604910926;1;3967526,286;2400000;;;;;1;Eritrea;531;271;Eritrea;ERI;ER;232;643;FALSE;FALSE;FALSE;FALSE;;;;;;24.04.13 17:10;;"Tang Jiaxuan, ; Ali Sayyid Abdallah,";1
2035;China;$20 million interest-free loan to build fish-landing sites;2010;FALSE;In 2010, China and Ghana signed an agreement for a $20 million USD interest-free loan to build fish-landing sites for coastal communities in Ghana. It is unclear exactly where these facilities will be located or if construction has commenced.;310;Agriculture, Forestry and Fishing;;Pipeline: Commitment;11;Loan (excluding debt rescheduling);Ghana;"http://intl.ce.cn/specials/zxxx/201108/22/t20110822_22638920.shtml, Media Report, including Wikileaks; http://www.reuters.com/article/2010/10/26/ghana-china-deal-idAFLDE69P17T20101026, Media Report, including Wikileaks";2;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;;20000000;USD;1,075643212;1;18593525,97;20000000;;;;;1;Ghana;452;241;Ghana;GHA;GH;288;652;FALSE;FALSE;FALSE;FALSE;;;;;;26.03.13 15:40;Coastal Ghana;;1
2250;China;$22m debt cancellation;2007;FALSE;In November of 2007, China cancelled $22 million USD worth of Sierra Leone's debt. Chinese Vice Foreign Minister Zhai Jun and Sierra Leone's Foreign Minister Zainab Bangura signed the agreement.;600;Action Relating to Debt;;Completion;3;Debt forgiveness;Sierra Leone;"http://www.standardtimespress.org/cgi-bin/artman/publish/article_2315.shtml, Media Report, including Wikileaks; http://global.factiva.com/redir/default.aspx?P=sa&an=WDAN000020071116e3bg00039&cat=a&ep=ASE, Media Report, including Wikileaks";2;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/redir/default.aspx?P=sa&an=WDAN000020071116e3bg00039&cat=a&ep=ASE, Media Report, including Wikileaks;22000000;USD;0,837994837;1;26253145,03;22000000;;;;;1;Sierra Leone;451;272;Sierra Leone;SLE;SL;694;724;FALSE;FALSE;FALSE;FALSE;;;;;;01.05.13 17:43;;"Zhai Jun, ; Zainab Bangura,";1
30287;China;$23.5 million grant to Tanzania-Zambia Railway Authority;2012;FALSE;In March 2012, China offered to help pay for the rehabilitation of the Tanzania-Zambia Railway Authority (TAZARA) rail lines. The agreement provided a grant of $23.5 million (K123 billion) for the rehabilitation of the railway line and infrastructure. China also provided a $42.6 million (K223 billion) interest-free loan to revive the operations (ID #30288). The agreements were to be officially signed at a tripartite meeting on March 26 by the two governments. They also commissioned a one-year feasibility study beginning in June to determine the types of rehabilitation needed at the meeting. The money provided went toward different projects to facilitate the rehabilitation. In November of 2012, $42 million (from the combined total of grant and loan) went toward 12 separate projects including: updating 42 coach cars, four new locomotives, two diesel shunting locomotives, 30,000 wooden sleepers, track maintenance vehicles, and staff training. A news report indicates that the rest of the money would go to ensuring operations for the train for the next three years.;210;Transport and Storage;Railway rehabilitation;Completion;3;Monetary Grant (excluding debt forgiveness);Tanzania, Zambia;"http://allafrica.com/stories/201203160034.html, Media Report, including Wikileaks; http://www.africanreview.com/transport-a-logistics/rail/china-signs-us-42-million-tazara-rehabilitation-deal, Media Report, including Wikileaks; http://www.chinafrica.cn/english/africa_report/txt/2012-11/29/content_504210.htm, Media Report, including Wikileaks";3;;Tanzania-Zambia Railway Authority (TAZARA), State-Owned Company;;;Tanzania-Zambia Railway Authority (TAZARA), State-Owned Company;1;Checked;1;ODA-like;2;Development;1;Active;1;;23500000;USD;1,189796;1;19751285,09;23500000;;;;;2;Africa, regional;"551; 510";"288; 282";"Zambia; Tanzania";"ZMB; TZA";"ZM; TZ";"894; 834";"754; 738";FALSE;FALSE;FALSE;FALSE;;;;;;13.10.13 21:43;;;1
564;China;$23m loan for telcommunications development;2006;FALSE;In Asmara on April 11, 2006, Eritrean National Development Minister Woldai Futur and China's ambassador to Eritrea Ju Zian signed a $23 million preferential loan agreement funded by the Export-Import Bank of China to build infrastructure for fixed and mobile telephones. The project is expected to take 1.5 years. The project will improve Eritrea's current communication network, establish fixed telephone network coverage in major cities, extend CDMA basic wireless coverage for the entire country, including islands, and increase the telecommunications usage density from the current 1.5% to 6.5%.;220;Communications;Telephone infrastructure;Pipeline: Commitment;11;Loan (excluding debt rescheduling);Eritrea;"http://www.chinanews.com/news/2006/2006-04-13/8/716626.shtml, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=LBA0000020060412e24c00117&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFPR000020060427e24r000gp&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks";3;Export-Import Bank of China, Government Agency;Ministry of Information and Communications Technology, Government Agency;Export-Import Bank of China, Government Agency;1;Ministry of Information and Communications Technology, Government Agency;1;Checked;1;Vague (Official Finance);5;Development;1;Active;1;"http://global.factiva.com/aa/?ref=LBA0000020060412e24c00117&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFPR000020060427e24r000gp&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks";23000000;USD;0,743052144;1;30953413,14;23000000;;;;;1;Eritrea;531;271;Eritrea;ERI;ER;232;643;FALSE;FALSE;FALSE;FALSE;;;;;;01.05.13 17:44;Asmara, Ju Zian;"Ju Zian, ; Ali Abdu, ; Woldai Futur,";1
12550;China;$250,000 medicine donation to combat malaria;2006;FALSE;In 2006, China agreed to provide Senegal with $250,000 USD worth of medication to combat malaria in the country. It is unclear exactly where the medicine was dispatched.;120;Health;;Completion;3;In-kind Grant (Goods or Services);Senegal;http://global.factiva.com/aa/?ref=XNEWS00020071223e3ca002xn&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;1;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=XNEWS00020071223e3ca002xn&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;250000;USD;0,743052144;1;336450,1428;250000;;;;;1;Senegal;433;269;Senegal;SEN;SN;686;722;FALSE;FALSE;FALSE;FALSE;;;;;;26.03.13 15:37;;;1
484;China;$2b oil-backed loan;2006;FALSE;In November 2006, Equatorial Guineaâ€™s President Teodoro Obiang Nguema attended the China-Africa summit. At the summit, China's Exim Bank awarded Equatorial Guinea a non-concessional credit line of 2 billion USD to complete a series of infrastructure projects, namely to improve and provide electricity to the Bata Harbour. The terms of the loan consisted of a 5.5% interest rate, a maturity of 5 years and a grace period of 2 years, and the loan is to be repaid in oil to the Exim Bank. The repayment must be equal to 30% of the outstanding stock of debt. As a result of this deal, Unipec (the trading arm of Chinese state owned Sinopec) received a contract for the delivery of 15,000 barrels per day of crude oil from the Zafiro field for a five year period. In 2007, the Government of Equatorial Guinea laid the foundation for the Bata Port expansion and rehabilitation project. The Chinese state-owned China Road and Bridge Engineering Corp. was contracted to complete the project. The total cost for the port project is 300 million EUR, but it is unclear how much of that total will be provided by the Chinese. It is also unclear if the port project was completed. In an interview conducted on January 28, 2013 by Equatorial Guinea Press, Maria Luisa Mangue Obiang, the young Assistant Director-General of Ports in Equatorial Guinea, said that work on the port began in 2009 with Chinese companies Somagec and China Road and supervised by SNC Lavalin. There have been a number of updates on the port but there are more projects in store for the port. She gave no indication of when the project would be completely finished. PPIAF-ID:108;430;Other Multisector;;Completion;3;Loan (excluding debt rescheduling);Equatorial Guinea;"http://equatorialguineaonline.com/equatorial-guinea-trade-and-economic-partnerships-2011-www-equatorialguineaonline-com, Media Report, including Wikileaks; http://www.africaintelligence.com/AEM/government-strategies/2006/11/15/huge-loan-from-beijing,24084495-ART, Media Report, including Wikileaks; http://news.sina.com.cn/c/2006-11-02/105611400410.shtml, Media Report, including Wikileaks; http://www.hbfzsh.cn/news/news_temp.asp?id=234, NGO/Civil Society/Advocacy; http://www.hbfzsh.cn/news/news_temp.asp?id=234, NGO/Civil Society/Advocacy; http://www.guineaecuatorialpress.com/noticia.php?id=3441&lang=en, Media Report, including Wikileaks; http://www.imf.org/external/np/sec/pn/2013/pn1337.htm, Other Official Source (non-Donor, non-Recipient)";7;Export-Import Bank of China, Government Agency;;Export-Import Bank of China, Government Agency;1;;;Checked;1;OOF-like;3;Development;1;Active;1;;2000000000;USD;0,743052144;1;2691601143;2000000000;;01. Nov 06;;;1;Equatorial Guinea;411;245;Equatorial Guinea;GNQ;GQ;226;642;FALSE;TRUE;FALSE;FALSE;Non-Concessional;5,5;5;2;12,99;01.10.13 15:36;Malabo;;1
554;China;$2m aid;2003;FALSE;On May 6, 2003, Eritrean Economic Advisor Dr. Woldai Futur and Chinese Ambassador to Eritrea Chen Zhanfu signed a $2 million aid agreement for use in economic and technical sectors.;998;Unallocated / Unspecified;Economic and technical sectors;Pipeline: Commitment;11;Monetary Grant (excluding debt forgiveness);Eritrea;http://global.factiva.com/aa/?ref=bbcap00020030506dz56007eq&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;1;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=bbcap00020030506dz56007eq&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;2000000;USD;0,620702517;1;3222155,451;2000000;;;;;1;Eritrea;531;271;Eritrea;ERI;ER;232;643;FALSE;FALSE;FALSE;FALSE;;;;;;05.04.13 17:05;;"Woldai Futur, ; Chen Zhanfu,";1
21646;China;$3.75 million grant;2004;FALSE;In 2004, China agreed to provide Ghana with a $3.75 million USD grant to foster economic and technical cooperation. The loan is an interest-free loan worth $3.75 million USD. It will be used for projects to be agreed upon by both governments, has a grace period of 10 years as well as the same repayment period. Minister of Finance and Economic Planning Yaw Osafo Maafo signed the agreement. It is unclear how the funds were used.This is connected to ID 1509 in a series of agreements signed at the same meeting between Wen Jiabao and Ghanaian President John Agyekum Kufuor.;998;Unallocated / Unspecified;;Pipeline: Commitment;11;Monetary Grant (excluding debt forgiveness);Ghana;http://www.ccs.org.za/wp-content/uploads/2009/04/ccs-china-monitor-july-06.pdf, Other Academic (Working Paper, Dissertation);1;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;;3750000;USD;0,663629447;1;5650743,827;3750000;;;;;1;Ghana;452;241;Ghana;GHA;GH;288;652;FALSE;FALSE;FALSE;FALSE;;;;;;05.04.13 17:04;;;1
